Name	version	*Laz/Tab	*Laz/Item Type	*Laz/Usage	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Disenchanting Scroll Automod	100			Automod	1	1	1		0				4	350	levelreq-display		5	5									lgld	disi												0	0
Fang Automod	100			Unused		1	1		0				4	351	levelreq-display		5	5	is-upgradable		1	1						dfan												0	0
Crafting Scroll Automod	100			Automod	1	1	1		0				4	352	dmg%-ac%-display		15	15	levelreq-display		-10	-10	random-mods-display		1	1	oran	crai												0	0
Paladin Mace	100			Automod	1	1	1		0				4	361	dmg-undead		50	50										armo	weap											0	0
Paladin Sword	100			Automod	1	1	1		0				4	362	dmg-demon		100	100										armo	weap											0	0
Paladin Scepter	100			Automod	1	1	1		0				4	363	dmg-demon		50	50										armo	weap											0	0
Polearm	100			Automod	1	1	1		0				4	360	hit-skill-stance	424	100	1	dmg-stun		25	25						armo	weap											0	0
Dmg Human	100			Automod	1	1	1		0				4	365	dmg-mon%	4	50	50	automagic-human%		50	50						armo	weap											0	0
Dmg Insect	100			Unused		1	1		0				4	366	dmg-mon%	3	50	50	automagic-insect%		50	50						armo	weap											0	0
Dmg Construct	100			Unused		1	1		0				4	367	dmg-mon%	5	50	50	automagic-construct%		50	50						armo	weap											0	0
Mage Shield	100			Unused		1	1		0				4	369	automagic-armosock		1	1										armo	weap											0	0
Crossbow	100			Automod	1	1	1		0				4	370	automagic-str	4												armo	weap											0	0
Paladin Crossbow	100			Automod	1	1	1		0				4	371	automagic-str	4												armo	weap											0	0
Druid Club	100			Automod	1	1	1		0				4	372	automagic-werebeast		100	100										armo	weap											0	0
Spiked Shield	100			Automod	1	1	1		0				4	373	automagic-woundth		20	20										armo	weap											0	0
Polearm	100			Unused		1	1		0				4	374	dmg-demon		50	50										armo	weap											0	0
Scythe	100			Automod	1	1	1		0				4	359	hit-skill-stance	15	5	1										armo	weap											0	0
Boots 1	100			Scaling automod	1	1	1		0				4	375	move3		5	5										armo	weap											0	0
Boots 2	100			Scaling automod	1	1	1		0				4	376	move3		8	8										armo	weap											0	0
Boots 3	100			Scaling automod	1	1	1		0				4	377	move3		10	10										armo	weap											0	0
Boots 4	100			Scaling automod	1	1	1		0				4	378	move3		12	12										armo	weap											0	0
Boots 5	100			Scaling automod	1	1	1		0				4	379	move3		15	15										armo	weap											0	0
Boots 5	100			Scaling automod	1	1	1		0				4	379	move3		15	15										armo	weap											0	0
Staff of Flame Bolt	100	Fire	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
Staff of New Warmth	100	Fire	Short Staff	Inherent	1	1	1		0				4	400	inherent-staff		40	40							1	1		armo	weap											0	0
