description	*Laz/Usage	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Amulet of the Viper -> Horadric Staff	Quest	1			0	28				2	msf	vip						hst																																																																																							0
Khalim's Flail + Khalim's Heart + Khalim's Eye + Khalim's Brain -> Khalim's Will	Quest	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Wirt's Leg + Tome of Town Portal -> Portal to The Secret Cow Level	Quest	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
3 Healing Potions (Any) + 3 Mana Potions (Any) -> Small Rejuvenation Potion	Basic recipes	1			0					6	hpot,qty=3	mpot,qty=3						rvs																																																																																							0
3 Rejuvenation Potions -> Full Rejuvenation Potion	Basic recipes	1			0					3	rvs,qty=3							rvl																																																																																							0
2 Arrows -> Bolts	Basic recipes	1			0					2	aqv,qty=2							cqv																																																																																							0
2 Bolts -> Arrows	Basic recipes	1			0					2	cqv,qty=2							aqv																																																																																							0
3 Chipped Amethysts -> Flawed Amethyst	Gems	1			0					3	gcv,qty=3							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	Gems	1			0					3	gfv,qty=3							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	Gems	1			0					3	gsv,qty=3							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	Gems	1			0					3	gzv,qty=3							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	Gems	1			0					3	gcr,qty=3							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	Gems	1			0					3	gfr,qty=3							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	Gems	1			0					3	gsr,qty=3							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	Gems	1			0					3	glr,qty=3							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	Gems	1			0					3	gcb,qty=3							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	Gems	1			0					3	gfb,qty=3							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	Gems	1			0					3	gsb,qty=3							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	Gems	1			0					3	glb,qty=3							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	Gems	1			0					3	gcy,qty=3							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	Gems	1			0					3	gfy,qty=3							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	Gems	1			0					3	gsy,qty=3							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	Gems	1			0					3	gly,qty=3							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	Gems	1			0					3	gcg,qty=3							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	Gems	1			0					3	gfg,qty=3							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	Gems	1			0					3	gsg,qty=3							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	Gems	1			0					3	glg,qty=3							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	Gems	1			0					3	gcw,qty=3							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	Gems	1			0					3	gfw,qty=3							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	Gems	1			0					3	gsw,qty=3							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	Gems	1			0					3	glw,qty=3							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	Gems	1			0					3	skc,qty=3							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	Gems	1			0					3	skf,qty=3							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	Gems	1			0					3	sku,qty=3							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	Gems	1			0					3	skl,qty=3							skz																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r01,qty=2							r02																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r02,qty=2							r03																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r03,qty=2							r04																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r04,qty=2							r05																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r05,qty=2							r06																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r06,qty=2							r07																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r07,qty=2							r08																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r08,qty=2							r09																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r09,qty=2							r10																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r10,qty=2							r11																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r11,qty=2							r12																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r12,qty=2							r13																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r13,qty=2							r14																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r14,qty=2							r15																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r15,qty=2							r16																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r16,qty=2							r17																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r17,qty=2							r18																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r18,qty=2							r19																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r19,qty=2							r20																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r20,qty=2							r21																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r21,qty=2							r22																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r22,qty=2							r23																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r23,qty=2							r24																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r24,qty=2							r25																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r25,qty=2							r26																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r26,qty=2							r27																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r27,qty=2							r28																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r28,qty=2							r29																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r29,qty=2							r30																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r30,qty=2							r31																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r31,qty=2							r32																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r32,qty=2							r33																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r33,qty=2							r34																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r34,qty=2							r35																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r35,qty=2							r36																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r36,qty=2							r37																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r37,qty=2							r38																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r38,qty=2							r39																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r39,qty=2							r40																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r40,qty=2							r41																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r41,qty=2							r42																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r42,qty=2							r43																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r43,qty=2							r44																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r44,qty=2							r45																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r45,qty=2							r46																																																																																							0
Rune x2 = next rune	Rune upgrades	1			100					2	r46,qty=2							r47																																																																																							0
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)					100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
1 Diablo's Horn + 1 Baal's Eye + 1 Mephisto's Brain -> Portal to Tristram (Pandemonium Finale)					100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction -> Token of Absolution					100					4	tes	ceh	bet	fed				toa																																																																																							0
Trophy 1 + Ashes = replace trophy	Trophy 1	1			0					2	dust	rf1						rf1,mod																																																																																							0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd01						useitem				str			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd02						useitem				dex			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd03						useitem				enr			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd04						useitem				vit			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd05						useitem				dmg-max			3	3	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd06						useitem				healskill			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd07						useitem				res-fire			12	12	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd08						useitem				res-cold			12	12	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd09						useitem				res-ltng			12	12	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd10						useitem				res-pois			12	12	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd11						useitem				extra-fire			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd12						useitem				extra-cold			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd13						useitem				extra-ltng			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd14						useitem				extra-pois			2	2	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd15						useitem				ac			8	8	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd16						useitem				swing3			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd17						useitem				cast3			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd18						useitem				block3			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd19						useitem				balance3			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd20						useitem				dmg-fire			4	12	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd21						useitem				dmg-cold			7	9	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd22						useitem				dmg-ltng			1	15	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd23						useitem				dmg-pois		25	40	80	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd24						useitem				thorns%			20	20	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd25						useitem				gold%			30	30	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd26						useitem				mag%			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd27						useitem				regen			5	5	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd28						useitem				regen-mana			4	4	levelreq			5	5	upgrade-tracker			1	1																																																																					0
Trophy 2 + Herb = update trophy	Trophy 2	1			0	16	473	18		2	rf2	wd29						useitem				summon-dmg%			3	3	levelreq			5	5	upgrade-tracker			1	1																																																																					0
