Stat	*ID	*Laz/Usage	*Laz/Min	*Laz/Max	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
strength	0		-50	206	1		11			1	0	10			1	1		125	55		7	32	8	50																67	19		ModStr1a	ModStr1a		1	19		Moditem2allattrib	Moditem2allattrib		6		0
energy	1		-50	206			11			1	0	10			1	1		100	55		7	32	8	50			8			maxmana										61	19		ModStr1d	ModStr1d		1	19		Moditem2allattrib	Moditem2allattrib				0
dexterity	2		-50	206	1		11			1	0	10			1	1		125	55		7	32	8	50																65	19		ModStr1b	ModStr1b		1	19		Moditem2allattrib	Moditem2allattrib				0
vitality	3		-50	206			11			1	0	10			1	1		100	55		7	32	8	50			9			maxhp	maxstamina									63	19		ModStr1c	ModStr1c		1	19		Moditem2allattrib	Moditem2allattrib				0
statpts	4						9			1	0	10																																										0
newskills	5						9			1	0	8																																										0
hitpoints	6						32			1	0	21								8													1	maxhp																				0
maxhp	7		-100	412			32			1	0	21		1	1	1		56	20	8	8	32	9	100																59	19		ModStr1u	ModStr1u										0
mana	8						32			1	0	21								8						1							1	maxmana																				0
maxmana	9		-100	412			32			1	0	21		1	1	0		81	20	8	8	32	9	100																55	19		ModStr1e	ModStr1e										0
stamina	10						32			1	0	21								8						1							1	maxstamina																				0
maxstamina	11		-100	412			32			1	0	21		1	1	0		75	20	8	8	32	9	100																51	19		ModStr5d	ModStr5d										0
level	12						9			1	0	7																																										0
experience	13						32			1	0	32																																										0
gold	14						32			1	0	25																																										0
goldbank	15						32			1	0	25																																										0
item_armor_percent	16					1	11											47	20		9	0	9	0			13			armorclass										74	19		Modstr2v	Modstr2v										0
item_maxdamage_percent	17					1	11											45	20		9	0	9	0			13			maxdamage	secondary_maxdamage	item_throw_maxdamage			1					129	19		ModStr2j	ModStr2j										0
