ItemType	*Laz/Id	*Laz/Merc	*Laz/Comment	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Any	0						0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
None	1			none			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Shield	2			shie	shld		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	3			0							armo	0
Armor	3			tors	armo		1	1	tors	tors			0	0	0	0		1	0	0	1	25	3	40	4	0	6			0							armo	0
Gold	4			gold	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0								0
Bow Quiver	5		modified	bowq	misl		1	1	rarm	larm		bow	0	1	0	1			0	0	0	25	0	40	0	0	4			0							misc	0
Crossbow Quiver	6		modified	xboq	misl		1	1	rarm	larm		xbow	0	1	0	1			0	0	0	25	0	40	0	0	4			0							misc	0
Player Body Part	7			play	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Herb	8			herb	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Potion	9			poti	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Ring	10			ring	misc	anyj	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Elixir	11			elix	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	4			0							misc	0
Amulet	12			amul	misc	anyj	0	1	neck	neck			0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invamu1	invamu2	invamu3				misc	0
Charm	13			char	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0							misc	0
Not Used	14						0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Boots	15			boot	armo	merc	1	1	feet	feet			0	0	0	0		1	0	0	1	25	1	40	2	0	4			0							armo	0
Gloves	16			glov	armo	merc	1	1	glov	glov			0	0	0	0		1	0	0	1	25	1	40	2	0	4			0							armo	0
Not Used	17						0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Book	18			book	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Belt	19			belt	armo	merc	1	1	belt	belt			0	0	0	0		1	0	0	1	25	1	40	2	0	4			0							armo	0
Gem	20			gem	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Torch	21			torc	misc		0	1					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Scroll	22			scro	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Not Used	23						0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Scepter	24			scep	rod		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Wand	25			wand	rod		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	2	0	4			0							weap	0
Staff	26			staf	rod		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Bow	27			bow	miss		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	2	25	4	40	6	1	4			0							weap	0
Axe	28			axe	mele		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Club	29			club	blun	bonk	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	2	0	4			0							weap	0
Sword	30			swor	mele		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Hammer	31			hamm	blun	bonk	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Knife	32			knif	mele		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Spear	33			spea	mele		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Polearm	34			pole	mele		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Crossbow	35			xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Mace	36			mace	blun	bonk	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Helm	37		dummy row for mercs	merc	armo		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Missile Potion	38			tpot	thro		0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	4			0							misc	0
Quest	39			ques			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Body Part	40			body	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Key	41			key	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	4			0							misc	0
Throwing Knife	42			tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	2	40	2	0	4			0							misc	0
Throwing Axe	43			taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	1	25	2	40	2	0	4			0							misc	0
Javelin	44			jave	comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	0	25	0	40	0	0	4			0							misc	0
Weapon	45			weap	anyx		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	4			0								0
Melee Weapon	46			mele	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	4			0								0
Missile Weapon	47			miss	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Thrown Weapon	48			thro	weap		0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Combo Weapon	49			comb	mele	thro	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Any Armor	50			armo	anyx		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	4			0								0
Any Shield	51			shld	armo	seco	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Miscellaneous	52			misc			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Socket Filler	53			sock	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Second Hand	54			seco			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Staves And Rods	55			rod	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Missile	56			misl	misc		1	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Blunt	57			blun	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Expansion																																						
Jewel	58			jewl	sock		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
Class Specific	59			clas			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4			0								0
Amazon Item	60			amaz	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		ama	0								0
Barbarian Item	61			barb	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		bar	0								0
Necromancer Item	62			necr	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		nec	0								0
Paladin Item	63			pala	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		pal	0								0
Sorceress Item	64			sorc	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		sor	0								0
Assassin Item	65			assn	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		ass	0								0
Druid Item	66			drui	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	4		dru	0								0
Hand to Hand	67			h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4		ass	0							weap	0
Orb	68			orb	rod		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Voodoo Heads	69			head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Auric Shields	70			ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Primal Helm	71			phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Pelt	72			pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Cloak	73			cloa	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	4			0							armo	0
Rune	74			rune	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Circlet	75			circ	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							armo	0
Healing Potion	76			hpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Mana Potion	77			mpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Rejuv Potion	78			rpot	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Stamina Potion	79			spot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Antidote Potion	80			apot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Thawing Potion	81			wpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	4			0							misc	0
Small Charm	82			scha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invch1	invch4	invch7				misc	0
Medium Charm	83			mcha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invch2	invch5	invch8				misc	0
Large Charm	84			lcha	char		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	4			3	invch3	invch6	invch9				misc	0
Amazon Bow	85			abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	2	25	4	40	6	1	4			0							weap	0
Amazon Spear	86			aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	4	40	6	0	4			0							weap	0
Amazon Javelin	87			ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	0	25	0	40	0	0	4			0							misc	0
Hand to Hand 2	88			h2h2	h2h		1	1	rarm	larm			0	0	0	0		1	0	0	1	25	2	40	3	0	4			0							weap	0
Magic Bow Quiv	89		Enable	mboq	bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Magic Xbow Quiv	90		Enable	mxbq	xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	4			0							misc	0
Chipped Gem	91			gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Flawed Gem	92			gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Standard Gem	93			gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Flawless Gem	94			gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Perfect Gem	95			gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Amethyst	96			gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Diamond	97			gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Emerald	98			geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Ruby	99			gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Sapphire	100			gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Topaz	101			gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Skull	102			gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	4			0							misc	0
Placeholder 103	103		placeholder	p103			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 104	104		placeholder	p104			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 105	105		placeholder	p105			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
Placeholder 106	106		placeholder	p106			0	0					0	0	0	0			0	0	0	25	0	40	0	0	4			0								0
