Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	*Laz/OrUM	*Laz/OrUX	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Null	Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	50				0	0	0									0	0																																																																																										0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Town	Rogue Encampment	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	1	0	0	2025	0	25	50				0	0	0									0	0																																																																														chicken				30	30							0	1	0	Rogue Encampment	To The Rogue Encampment	EnteringTheRogueEncampment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Wilderness 1	Blood Moor	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	1	26	51	1	36	67	520	520	520					4	5	7	9	1	0	5	laz_quillrat1	laz_zombie1	laz_skeleton1	laz_fallen1	laz_sk_archer1																						laz_quillrat1	laz_zombie1	laz_skeleton1	laz_fallen1	laz_sk_archer1																					laz_quillrat1	laz_zombie1	laz_skeleton1	laz_fallen1	laz_sk_archer1																																	0	2	255	Blood Moor	To The Blood Moor	EnteringTheBloodMoor	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0
Act 1 - Wilderness 2	Cold Plains	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	2	27	52	2	36	68	440	440	440	1	1	1	1	4	5	7	9	1	0	6	laz_zombie2	laz_brutesuper1	laz_rogue1	laz_lancer1	laz_cr_archer1	laz_crownest1																					laz_zombie2	laz_brutesuper1	laz_rogue1	laz_lancer1	laz_cr_archer1	laz_crownest1																				laz_zombie2	laz_rogue1	laz_lancer1	laz_cr_archer1																																		0	2	1	Cold Plains	To The Cold Plains	EnteringTheColdPlains	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0
Act 1 - Wilderness 3	Stony Field	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	4	29	54	4	37	68	440	440	440	1	1	1	1	4	6	7	9	1	0	7	laz_goat1	laz_fallenshaman2	laz_deathmaulersuper1	laz_rogue2	laz_lancer2	laz_cr_archer2	laz_crownest1																				laz_goat1	laz_fallenshaman2	laz_deathmaulersuper1	laz_rogue2	laz_lancer2	laz_cr_archer2	laz_crownest1																			laz_fallenshaman2	laz_deathmaulersuper1	laz_rogue2	laz_lancer2	laz_cr_archer2																																	0	2	2	Stony Field	To The Stony Field	EnteringTheStonyField	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0
Act 1 - Wilderness 4	Dark Wood	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	5	30	55	5	38	68	440	440	440	1	1	1	1	4	6	7	9	1	0	5	laz_quillrat2	laz_brutesuper2	laz_fallenshaman3	laz_rogue3	laz_foulcrowspecial1																						laz_quillrat2	laz_brutesuper2	laz_fallenshaman3	laz_rogue3	laz_foulcrowspecial1																					laz_quillrat2	laz_fallenshaman3	laz_rogue3	laz_foulcrowspecial1																																		0	2	3	Dark Wood	To The Dark Wood	EnteringTheDarkWood	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0
Act 1 - Wilderness 5	Black Marsh	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	6	31	56	6	38	69	440	440	440	1	2	1	2	4	6	7	9	1	0	6	laz_brutesuper2	laz_fallenshaman4	laz_sandleapersuper1	laz_cr_archer3	laz_quillratsuper1	laz_crownest1																					laz_brutesuper2	laz_fallenshaman4	laz_sandleapersuper1	laz_cr_archer3	laz_quillratsuper1	laz_crownest1																				laz_fallenshaman4	laz_sandleapersuper1	laz_cr_archer3	laz_quillratsuper1																																		0	2	4	Black Marsh	To The Black Marsh	EnteringTheBlackMarsh	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0
Act 1 - Wilderness 6	Tamoe Highland	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	8	33	58	8	39	69	440	440	440	1	2	1	2	4	6	7	9	1	0	6	laz_quillrat3	laz_brutesuper3	laz_sandleapersuper1	laz_vampire1	laz_zombie3	laz_foulcrowspecial1																					laz_quillrat3	laz_brutesuper3	laz_sandleapersuper1	laz_vampire1	laz_zombie3	laz_foulcrowspecial1																				laz_quillrat3	laz_sandleapersuper1	laz_zombie3	laz_foulcrowspecial1																																		0	2	255	Tamoe Highland	To The Tamoe Highland	EnteringTheTamoeHighland	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0
Act 1 - Cave 1	Den of Evil	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	1	26	51	1	36	79	600	600	600									0	0	3	laz_foulcrow1	laz_fallenshaman1	laz_batdemon1																								laz_foulcrow1	laz_fallenshaman1	laz_batdemon1																							laz_foulcrow1	laz_fallenshaman1	laz_batdemon1																							rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	EnteringTheDenOfEvilInQuest	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0
Act 1 - Cave 2	Cave Level 1	9	0	0			2	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	2	36	77	520	520	520					4	6	6	8	1	0	6	laz_zombie2	laz_brutesuper1	laz_rogue2	laz_lancer2	laz_fallenshaman2	laz_deathmaulersuper1																					laz_zombie2	laz_brutesuper1	laz_rogue2	laz_lancer2	laz_fallenshaman2	laz_deathmaulersuper1																				laz_zombie2	laz_rogue2	laz_lancer2	laz_fallenshaman2	laz_deathmaulersuper1																					rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	EnteringTheCaveLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0
