Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Broken	1	1		1		0				2	600	ac		-3	-10										armo	ring	amul	pama	pasc	staf							0	0
Stout	1	1	1	1		0				4	600	ac		3	5										armo	ring	amul	pama	pasc	staf							0	0
Strong	1	1	1	10		5				4	600	ac		6	9										armo	ring	amul	pama	pasc	staf							0	0
Tough	1	1	1	19		9				4	600	ac		10	12										armo	ring	amul	pama	pasc	staf							0	0
Burly	1	1	1	28		14				4	600	ac		13	15										armo	ring	amul	pama	pasc	staf							0	0
Mighty	1	1	1	37		18				4	600	ac		16	22										armo	ring	amul	pama	pasc	staf							0	0
Stalwart	1	1	1	46		23				4	600	ac		23	25										armo	ring	amul	pama	pasc	staf							0	0
Noble	1	1	1	55		27				4	600	ac		26	30										armo	ring	amul	pama	pasc	staf							0	0
Regal	1	1	1	64		32				4	600	ac		31	35										armo	ring	amul	pama	pasc	staf							0	0
Royal	1	1	1	73		36				4	600	ac		36	50										armo	ring	amul	pama	pasc	staf							0	0
Stout	1	1	1	1		0				4	600	ac		3	5										dusc	dusp											0	0
Strong	1	1	1	10		5				4	600	ac		6	9										dusc	dusp											0	0
Tough	1	1	1	19		9				4	600	ac		10	12										dusc	dusp											0	0
Burly	1	1	1	28		14				4	600	ac		13	15										dusc	dusp											0	0
Mighty	1	1	1	37		18				4	600	ac		16	22										dusc	dusp											0	0
Stalwart	1	1	1	46		23				4	600	ac		23	25										dusc	dusp											0	0
Noble	1	1	1	55		27				4	600	ac		26	30										dusc	dusp											0	0
Regal	1	1	1	64		32				4	600	ac		31	35										dusc	dusp											0	0
Royal	1	1	1	73		36				4	600	ac		36	50										dusc	dusp											0	0
Stout	1	1	1	1		0				4	600	ac		3	5										jewl												0	0
Strong	1	1	1	17		8				4	600	ac		6	10										jewl												0	0
Vulnerable	1	1		6		0				2	601	ac%		-100	-100										armo							circ					0	0
Rusted	1	1		1		0				2	601	ac%		-15	-40										armo							circ					0	0
Fine	1	1	1	1		0				12	601	ac%		10	20										armo							circ					0	0
Grand	1	1	1	12		6				12	601	ac%		21	30										armo							circ					0	0
Lavish	1	1	1	23		11				12	601	ac%		31	40										armo							circ					0	0
Ornate	1	1	1	34		17				12	601	ac%		41	50										armo							circ					0	0
Opulent	1	1	1	45		22				12	601	ac%		51	65										armo							circ					0	0
Splendid	1	1	1	56		28				12	601	ac%		66	80										armo							circ					0	0
Majestic	1	1	1	67		33				12	601	ac%		81	100										armo							circ					0	0
Sublime	1	1	1	90		45				1	601	ac%		101	125										armo							circ					0	0
Useless	1	1		6		0				2	602	dmg%		-100	-100										weap							staf	wand	orb	crsx		0	0
Weak	1	1		1		0				2	602	dmg%		-15	-40										weap							staf	wand	orb	crsx		0	0
Keen	1	1	1	1		0				12	602	dmg%		10	20										weap							staf	wand	orb	crsx		0	0
Deadly	1	1	1	12		6				12	602	dmg%		21	30										weap							staf	wand	orb	crsx		0	0
Lethal	1	1	1	23		11				12	602	dmg%		31	40										weap							staf	wand	orb	crsx		0	0
Brutal	1	1	1	34		17				12	602	dmg%		41	50										weap							staf	wand	orb	crsx		0	0
Vicious	1	1	1	45		22				12	602	dmg%		51	65										weap							staf	wand	orb	crsx		0	0
Barbarous	1	1	1	56		28				12	602	dmg%		66	80										weap							staf	wand	orb	crsx		0	0
Cruel	1	1	1	67		33				12	602	dmg%		81	100										weap							staf	wand	orb	crsx		0	0
Divine	1	1	1	90		45				1	602	dmg%		101	125										weap							staf	wand	orb	crsx		0	0
Useless	1	1		6		0				2	602	dmg%		-100	-100										crsx												0	0
Weak	1	1		7		3				2	602	dmg%		-15	-40										crsx												0	0
Keen	1	1	1	7		3				6	602	dmg%		10	20										crsx												0	0
Deadly	1	1	1	23		11				6	602	dmg%		21	30										crsx												0	0
Lethal	1	1	1	39		19				6	602	dmg%		31	40										crsx												0	0
Brutal	1	1	1	55		27				6	602	dmg%		41	50										crsx												0	0
Tin	1	1		1		0				2	603	att%		-10	-40										knif												0	0
Bronze	1	1	1	1		0				6	603	att%		10	30										knif												0	0
Iron	1	1	1	10		5				6	603	att%		31	50										knif												0	0
Steel	1	1	1	19		9				6	603	att%		51	75										knif												0	0
Silver	1	1	1	28		14				6	603	att%		76	100										knif												0	0
Gold	1	1	1	37		18				6	603	att%		101	125										knif												0	0
Weird	1	1	1	46		23				6	603	att%		125	150										knif												0	0
Strange	1	1	1	55		27				6	603	att%		151	200										knif												0	0
Tin	1	1		1		0				2	603	att%		-10	-40										weap							staf	wand	orb	barb	knif	0	0
Bronze	1	1	1	1		0				6	603	att%		10	20										weap							staf	wand	orb	barb	knif	0	0
Iron	1	1	1	10		5				6	603	att%		21	40										weap							staf	wand	orb	barb	knif	0	0
Steel	1	1	1	19		9				6	603	att%		41	60										weap							staf	wand	orb	barb	knif	0	0
Silver	1	1	1	28		14				6	603	att%		61	80										weap							staf	wand	orb	barb	knif	0	0
Gold	1	1	1	37		18				6	603	att%		81	100										weap							staf	wand	orb	barb	knif	0	0
Weird	1	1	1	46		23				6	603	att%		101	120										weap							staf	wand	orb	barb	knif	0	0
Strange	1	1	1	55		27				6	603	att%		121	150										weap							staf	wand	orb	barb	knif	0	0
Bronze	1	1	1	1		0				4	603	att%		10	20										dusc												0	0
Iron	1	1	1	11		5				4	603	att%		21	40										dusc												0	0
Steel	1	1	1	20		9				4	603	att%		41	60										dusc												0	0
Silver	1	1	1	30		15				4	603	att%		61	80										dusc												0	0
Gold	1	1	1	40		19				4	603	att%		81	100										dusc												0	0
Weird	1	1	1	50		25				4	603	att%		101	120										dusc												0	0
Strange	1	1	1	60		29				4	603	att%		121	150										dusc												0	0
Tin	1	1		1		0				2	603	att%		-10	-40										amul	boax	bbax	bats	btax								0	0
Bronze	1	1	1	5		2				4	603	att%		10	20										amul	boax	bbax	bats	btax								0	0
Iron	1	1	1	14		7				4	603	att%		21	40										amul	boax	bbax	bats	btax								0	0
Steel	1	1	1	23		11				4	603	att%		41	60										amul	boax	bbax	bats	btax								0	0
Silver	1	1	1	32		16				4	603	att%		61	80										amul	boax	bbax	bats	btax								0	0
Gold	1	1	1	41		20				4	603	att%		81	100										amul	boax	bbax	bats	btax								0	0
Bronze	1	1	1	5		2				4	603	att%		10	20										jewl												0	0
Iron	1	1	1	39		19				4	603	att%		21	40										jewl												0	0
Piercing	1	1	1	51		25				4	603	ignore-ac		1	1										pama	pasc											0	0
Bashing	1	1	1	9		4				4	603	dmg-ac		-10	-20										blun												0	0
Puncturing	1	1	1	28		14				4	603	dmg-ac		-25	-50										blun												0	0
Bashing	1	1	1	9		4				4	603	dmg-ac		-10	-20										dusc												0	0
Puncturing	1	1	1	30		15				4	603	dmg-ac		-25	-50										dusc												0	0
Bashing	1	1	1	41		20				4	603	dmg-ac		-5	-10										jewl												0	0
Assamic	1	1	1	2		1				4	602	dmg-demon		10	25										pama	pasc	pasd										0	0
Arcadian	1	1	1	13		6				4	602	dmg-demon		26	40										pama	pasc	pasd										0	0
Unearthly	1	1	1	24		12				4	602	dmg-demon		41	65										pama	pasc	pasd										0	0
Astral	1	1	1	35		17				4	602	dmg-demon		66	80										pama	pasc	pasd										0	0
Elysian	1	1	1	46		23				4	602	dmg-demon		81	100										pama	pasc	pasd										0	0
Celestial	1	1	1	57		28				4	602	dmg-demon		101	120										pama	pasc	pasd										0	0
Angelic	1	1	1	68		34				4	602	dmg-demon		121	150										pama	pasc	pasd										0	0
Vanquishing	1	1	1	90		45				1	602	dmg-demon		151	250										pama	pasc	pasd										0	0
Holy	1	1	1	2		1				4	602	dmg-undead		10	25										pama	pasc	pasd	nscy									0	0
Sacred	1	1	1	13		6				4	602	dmg-undead		26	40										pama	pasc	pasd	nscy									0	0
Banishing	1	1	1	24		12				4	602	dmg-undead		41	65										pama	pasc	pasd	nscy									0	0
Wrathful	1	1	1	35		17				4	602	dmg-undead		66	80										pama	pasc	pasd	nscy									0	0
