Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Vulnerability	1	1		1		0				2	701	red-dmg		-1	-1										tors	helm	shld	ring	amul			ahlm					0	0
of Health	1	1	1	1		0				4	701	red-dmg		1	1										tors	helm	shld	ring	amul			ahlm					0	0
of Protection	1	1	1	12		6				4	701	red-dmg		2	2										tors	helm	shld	ring	amul			ahlm					0	0
of Absorption	1	1	1	23		11				4	701	red-dmg		3	3										tors	helm	shld	ring	amul			ahlm					0	0
of Defiance	1	1	1	34		17				4	701	red-dmg		4	4										tors	helm	shld	ring	amul			ahlm					0	0
of Shelter	1	1	1	45		22				4	701	red-dmg		5	5										tors	helm	shld	ring	amul			ahlm					0	0
of Protection	1	1	1	57		28				4	701	red-dmg		6	6										tors	helm	shld	ring	amul			ahlm					0	0
of Daring	1	1	1	68		34				4	701	red-dmg		7	7										tors	helm	shld	ring	amul			ahlm					0	0
of Sanctuary	1	1	1	80		40				4	701	red-dmg		8	8										tors	helm	shld	ring	amul			ahlm					0	0
of Health	1	1	1	1		0				4	701	red-dmg		1	1										dusp												0	0
of Protection	1	1	1	24		12				4	701	red-dmg		2	2										dusp												0	0
of Absorption	1	1	1	46		23				4	701	red-dmg		3	3										dusp												0	0
of Defiance	1	1	1	68		34				4	701	red-dmg		4	4										dusp												0	0
of Protection	1	1	1	1		0				4	701	red-dmg		1	1										jewl												0	0
of Absorption	1	1	1	40		20				4	701	red-dmg		2	2										jewl												0	0
of Oblivion	1	1		1		0				2	702	red-mag		-1	-4										ashi												0	0
of Warding	1	1	1	1		0				8	702	red-mag		1	2										ashi												0	0
of Resistance	1	1	1	15		7				8	702	red-mag		3	4										ashi												0	0
of the Sentinel	1	1	1	29		14				8	702	red-mag		5	6										ashi												0	0
of Guarding	1	1	1	43		21				8	702	red-mag		7	10										ashi												0	0
of Negation	1	1	1	57		28				8	702	red-mag		11	15										ashi												0	0
of the Void	1	1	1	71		35				8	702	red-mag		16	20										ashi												0	0
of Oblivion	1	1		1		0				2	702	red-mag		-1	-1										tors	helm	shld	ring	amul			ashi	ahlm				0	0
of Warding	1	1	1	1		0				4	702	red-mag		1	1										tors	helm	shld	ring	amul			ashi	ahlm				0	0
