Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	*Laz/BACH	*Laz/BACT	*Laz/BACD	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	*Laz/THH	*Laz/THT	*Laz/THD	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	*Laz/BDH	*Laz/BDT	*Laz/BDD	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	*Laz/BDH	*Laz/BDT	*Laz/BDD	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	4	13	21	4	13	21	8	25	42	5	46	87	5	46	87	10	92	174	30	153	398	30	153	398	30	128	324	1	4	6	1	4	6	1	4	6	30	78	117	30	78	117
2	6	15	23	6	15	23	12	29	46	6	47	88	6	47	88	11	93	175	44	166	411	44	166	411	41	139	335	2	4	7	2	4	7	2	4	7	40	104	156	40	104	156
3	8	17	25	8	17	25	16	33	50	8	49	90	8	49	90	16	98	180	58	180	425	58	180	425	52	150	346	3	5	8	3	5	8	3	5	8	50	131	197	50	131	197
4	10	19	27	10	19	27	20	37	54	11	52	93	11	52	93	21	103	185	63	185	430	63	185	430	56	154	350	4	6	9	4	6	9	4	6	9	60	156	234	60	156	234
5	13	21	29	13	21	29	25	42	58	13	54	95	13	54	95	26	108	190	66	189	434	66	189	434	59	157	353	5	7	10	5	7	10	5	7	10	70	182	273	70	182	273
6	15	23	31	15	23	31	29	46	62	16	57	98	16	57	98	31	113	195	71	194	439	71	194	439	63	161	357	5	8	11	5	8	11	5	8	11	80	207	311	80	207	311
7	17	25	33	17	25	33	33	50	66	19	60	101	19	60	101	37	119	201	81	204	449	81	204	449	71	169	365	6	9	12	6	9	12	6	9	12	90	234	351	90	234	351
8	19	27	35	19	27	35	37	54	70	22	63	104	22	63	104	43	125	207	90	213	458	90	213	458	78	176	372	7	10	13	7	10	13	7	10	13	100	260	390	100	260	390
9	21	29	37	21	29	37	41	58	74	25	66	107	25	66	107	49	131	213	99	221	466	99	221	466	85	183	379	8	11	14	8	11	14	8	11	14	110	285	428	110	285	428
10	23	31	39	23	31	39	45	62	78	28	69	110	28	69	110	55	137	219	109	231	476	109	231	476	93	191	387	9	12	14	9	12	14	9	12	14	120	312	468	120	312	468
11	25	33	41	25	33	41	49	66	82	31	72	113	31	72	113	62	144	226	118	240	485	118	240	485	100	198	394	10	13	15	10	13	15	10	13	15	130	338	507	130	338	507
12	27	35	43	27	35	43	53	70	86	34	75	116	34	75	116	68	150	232	133	255	500	133	255	500	112	210	406	11	14	16	11	14	16	11	14	16	140	363	545	140	363	545
13	29	37	45	29	37	45	57	74	90	38	79	120	38	79	120	75	157	239	148	270	515	148	270	515	124	222	418	12	15	17	12	15	17	12	15	17	154	401	602	154	401	602
14	31	39	48	31	39	48	62	78	95	41	82	123	41	82	123	82	164	246	163	285	530	163	285	530	136	234	430	13	15	18	13	15	18	13	15	18	169	440	660	169	440	660
15	33	41	50	33	41	50	66	82	99	45	86	127	45	86	127	89	171	253	178	300	545	178	300	545	148	246	442	14	16	19	14	16	19	14	16	19	186	482	723	186	482	723
16	35	43	52	35	43	52	70	86	103	49	90	131	49	90	131	97	179	261	193	315	560	193	315	560	160	258	454	15	17	20	15	17	20	15	17	20	205	533	800	205	533	800
17	37	45	54	37	45	54	74	90	107	52	93	134	52	93	134	104	186	268	214	336	581	214	336	581	177	275	471	16	18	21	16	18	21	16	18	21	225	584	876	225	584	876
18	39	47	56	39	47	56	78	94	111	56	97	138	56	97	138	112	194	276	235	358	603	235	358	603	194	292	488	16	19	22	16	19	22	16	19	22	248	644	966	248	644	966
19	41	49	58	41	49	58	82	98	115	60	101	142	60	101	142	120	202	284	256	379	624	256	379	624	211	309	505	17	20	23	17	20	23	17	20	23	273	708	1062	273	708	1062
20	43	51	60	43	51	60	86	102	119	64	105	146	64	105	146	128	210	292	278	400	645	278	400	645	228	326	522	18	21	24	18	21	24	18	21	24	300	779	1169	300	779	1169
21	45	53	62	45	53	62	90	106	123	69	110	151	69	110	151	137	219	301	299	421	666	299	421	666	245	343	539	19	22	25	19	22	25	19	22	25	330	857	1286	330	857	1286
22	47	55	64	47	55	64	94	110	127	73	114	155	73	114	155	146	228	310	329	451	696	329	451	696	269	367	563	20	23	25	20	23	25	20	23	25	363	942	1413	363	942	1413
