npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	128	1088	128	4	1024	922	1024									5000	30000	35000
charsi	128	960	128	4	1024	922	1024									5000	30000	35000
akara	128	1024	128	4	1024	922	1024									5000	30000	35000
lysander	128	1024	128	9	1024	922	1024									10000	30000	35000
drognan	128	1024	128	9	1024	922	1024									10000	30000	35000
elzix	128	1024	128	9	1024	922	1024									10000	30000	35000
fara	128	1024	128	9	1024	922	1024									10000	30000	35000
hratli	128	1024	128	17	1024	922	1024									15000	30000	35000
alkor	128	1024	128	17	1024	922	1024									15000	30000	35000
ormus	128	1024	128	17	1024	922	1024									15000	30000	35000
asheara	128	1024	128	17	1024	922	1024									15000	30000	35000
jamella	128	1024	128													20000	30000	35000
halbu	128	1024	128													20000	30000	35000
malah	128	2048	128	35	1024	512	1024									25000	30000	35000
drehya	128	2048	128	35	1024	512	1024									25000	30000	35000
larzuk	128	2048	128	35	1024	512	1024									25000	30000	35000
nihlathak	128	2048	128	35	1024	512	1024									25000	30000	35000
