pet type	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4	*Laz/EOL
none																				0
single		1	1		1		1													0
valkyrie		0	1		1	1	1	StrUI4	1	1	valkarieicon									0
golem		0	1		1	1	1	StrUI0	1	3	earthgolumicon	290	bloodgolumicon	291	metalgolumicon	292	firegolumicon			0
skeleton		0	1		1	1	1	StrUI1	1	2	skeletonicon									0
skeletonmage		0	1		1	1	1	StrUI2	1	2	skeletonmageicon									0
revive		0	1		1	1	1	StrUI3	1	2	revivedicon									0
hireable		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon	560	barbhirable_icon	0
dopplezon		0				1	1		1											0
invis		0	1																	0
raven		0	1					strUI5		2	raven									0
spiritwolf		0	1		1	1	1	strUI6	1	2	wolf									0
fenris		0	1		1	1	1	UIFenirsui	1	2	wolf									0
totem		0	1		1	1	1	strUI14	1	3	oaksage	423	heartofwolverine	422	spiritofbarbs					0
vine		0	1		1	1	1	strUI13	1	3	plaguepoppy	426	cycleoflife	427	vines					0
grizzly		0	1		1	1	1	strUI7	1	1	bear									0
shadowwarrior		0	1		1	1	1	UiShadowUI	1	1	shadowassassin									0
assassintrap		0		1																0
pettrap		0		1																0
hydra		0		1																0
druidraven		0	1		1	1	1	SummonKutkh		2	raven									0
druidwolf		0	1		1	1	1	SummonAmarok	1	2	wolf									0
druidbear		0	1		1	1	1	SummonNanuk	1	2	bear									0
necrosimulacrum		0	1		1	1	1	SkillnameLaz555	1	1	necromancericon									0
necroskeleton		0	1		1	1	1	StrUI1	1	2	skeletonicon									0
necroskeletalmage		0	1		1	1	1	StrUI2	1	2	skeletonmageicon									0
necrozombie		0		1	1		1	Zombie		2	earthgolumicon									0
necrowall		0		1	1		1													0
necrotentacle		0		1	1		1													0
