mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	armor	weapon	shield	scepter	wand	staff	bow	boots	gloves	belt
att%		15	50					0	1	0	1	1	1	1	0	0	0
dmg%		10	60					0	1	0	1	1	1	1	0	0	0
ac%		10	60					1	0	1	0	0	0	0	1	1	1
att%		15	50	dmg%		10	60	0	1	0	1	1	1	1	0	0	0
dur%		15	50					1	1	1	1	1	1	1	1	1	1
att%		15	50	dur%		15	50	0	1	0	1	1	1	1	0	0	0
dmg%		10	60	dur%		15	50	0	1	0	1	1	1	1	0	0	0
ac%		10	60	dur%		15	50	1	0	1	0	0	0	0	1	1	1
ease		-10	-30					1	1	1	1	1	1	1	1	1	1
dmg%		10	60	ease		-10	-30	0	1	0	1	1	1	1	0	0	0
ac%		10	60	ease		-10	-30	1	0	1	0	0	0	0	1	1	1
dur%		15	50	ease		-10	-30	1	1	1	1	1	1	1	1	1	1
