Name	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol			
LazRuneword1	Amok	1		1	h2h	"Claw\n\""RalTir\"""	"\n\"""	"\"""	Amok: Claw - RalTir			Claw		RalTir	r08	r03					dmg-fire		35	35	mana-kill		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword2	Arcana	1		2	helm	"Helm\n\""ChamPulAth\"""	"\n\"""	"\"""	Arcana: Helm - ChamPulAth			Helm		ChamPulAth	r32	r21	r39				move3		3	3	mana%		5	5	str%		5	5	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword3	Aspect	1		3	swor	"Sword\n\""TalSurPul\"""	"\n\"""	"\"""	Aspect: Sword - TalSurPul			Sword		TalSurPul	r07	r29	r21				dmg-cold		30	30	stupidity		1	1	cast3		10	10	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword4	Augur	1		4	scep	"Scepter\n\""EldThul\"""	"\n\"""	"\"""	Augur: Scepter - EldThul			Scepter		EldThul	r02	r10					dmg-undead		30	30	dmg-min		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword5	Avatar	1		5	staf	"Staff\n\""UmOhmRalDol\"""	"\n\"""	"\"""	Avatar: Staff - UmOhmRalDol			Staff		UmOhmRalDol	r22	r27	r08	r14			swing3		10	10	dmg%		10	10	dmg-fire		35	35	pois-spell-dur		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword6	Balance	1		6	bonk	"Blunt Weapon\n\""IoHel\"""	"\n\"""	"\"""	Balance: Blunt Weapon - IoHel		scep	Blunt Weapon		IoHel	r16	r15					vit		8	8	gold%		50	50	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword7	Bane	1		7	wand	"Wand\n\""ElTir\"""	"\n\"""	"\"""	Bane: Wand - ElTir			Wand		ElTir	r01	r03					levelreq		-2	-2	mana-kill		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword8	Banshee	1		8	axe	"Axe\n\""TirRal\"""	"\n\"""	"\"""	Banshee: Axe - TirRal		taxe	Axe		TirRal	r03	r08					mana-kill		2	2	dmg-fire		35	35	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword9	Basilisk	1		9	xbow	"Crossbow\n\""EthIthTir\"""	"\n\"""	"\"""	Basilisk: Crossbow - EthIthTir			Crossbow		EthIthTir	r05	r06	r03				reduce-ac		25	25	rep-dur		0	0	mana-kill		2	2	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
LazRuneword10	Brocken	1		10	orb	"Orb\n\""MalGul\"""	"\n\"""	"\"""	Brocken: Orb - MalGul			Orb		MalGul	r23	r25					dmg-pois		256	256	cold-spell-dur		15	15	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B	#N/B		#N/B	#N/B								
