skilldesc	*Laz	*Laz/Loc	*Laz/ID	*Laz/Name	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
attack					0	0	0	0	2	skillname0	skillld0	skillld0	skillan0	1												2																																																																																														0
kick					0	0	0	-1	0	skillname1	skillld1	skillld1	skillan1	2																																																																																																										0
throw					0	0	0	0	6	skillname2	skillld2	skillld2	skillan2	3												3																																																																																														0
unsummon					0	0	0	0	4	skillname3	skillld3	skillld3	skillan3																																																																																																											0
left hand throw					0	0	0	0	12	skillname4	skillld4	skillld4	skillan4	4												4																																																																																														0
left hand swing					0	0	0	-1	10	skillname5	skillld5	skillld5	skillan5																																																																																																											0
magic arrow					1	1	2	1	0	skillname6	skillld6	skillld6	skillan6	5												1				36	StrSkill3		max(usmc, 0)	256	74	StrSkillDamageFlat		pnma		74	StrSkill22		toht		74	Convphy2elemalt		1+(lvl-1)*1																																																																								0
fire arrow					1	1	3	1	2	skillname7	skillxld7	skillxld7	skillan7	5												1				36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill22		toht		74	Convphy2magalt		3+(lvl-1)*2																																					40	Sksyn	skillname7	2		76	Firedplev	skillname16	par8																											0
inner sight					2	1	1	2	4	skillname8	skillld8	skillld8	skillan8																	36	StrSkillDurationSingular	StrSkill20	ln34	25	74	StrSkillEnemyDefenseFlatBonus		ln34																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln56*2	3																																																			0
critical strike					2	1	3	2	6	skillname9	skillld9	skillld9	skillan9																	74	StrSkill24		dm12																																																																																							0
jab					3	1	1	3	8	skillname10	skillld10	skillld10	skillan10	7	ln34											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ln34		74	StrSkill22		toht																	18	StrSkill61																																																											0
cold arrow					1	2	1	1	10	skillname11	skillxld11	skillxld11	skillan11	5												1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht		74	Convphy2magalt		3+(lvl-1)*2																																40	Sksyn	skillname11	2		76	Colddplev	skillname21	par8																											0
multiple shot					1	2	2	1	12	skillname12	skillld12	skillld12	skillan12	5												1				36	StrSkill3		usmc	256	74	StrSkill9		min(24,ln12)																						74	WeapDamsk		96*100/128																																																									0
dodge					2	2	2	2	14	skillname13	skillld13	skillld13	skillan13																	74	StrSkill24		dm12																																																																																							0
power strike					3	2	2	3	16	skillname14	skillld14	skillld14	skillan14	5												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill22		toht																																										40	Sksyn	skillname14	2		76	Ltngdplev	skillname20	par8		76	Ltngdplev	skillname24	par8		76	Ltngdplev	skillname34	par8		76	Ltngdplev	skillname35	par8												0
poison javelin					3	2	3	3	18	skillname15	skillld15	skillld15	skillan15	22												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																																									40	Sksyn	skillname15	2		76	Poisdplev	skillname25	par8																											0
