Superunique	Name	*Laz/Boss	Class	hcIdx	*Laz/Loc	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
Bishibosh	LazBossBrokenhead	Brokenhead Bangshield	laz_skeletonboss1	0	A1 Cold Plains		17	0	0	10	12	1	0		11	11	11	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
Bonebreak	LazBossSkeletonKing	Skeleton King	laz_skeletonheroboss1	1	A1 Crypt	suskeletonking	7	0	0	0	0	1	0		5	5	5	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
Coldcrow	LazBossSkullfire	Skullfire	laz_skeletonarcherboss1	2	A1 Cave		9	0	0	5	6	1	0		18	18	18	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Rakanishu	LazBossRakanishu	Rakanishu	laz_fallenspecial1	3	A1 Stony Field		5	0	0	0	0	0	0	1	29	29	29	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Treehead WoodFist	LazBossHellsinger	Hellsinger Furia	laz_rogueboss1	4	A1 Dark Woods	sugames	6	0	0	5	6	1	0	1	4	4	4	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Griswold	Griswold		griswold	5	Quest		6	7	0	0	0	1	0	1	17	17	17	Griswold	Griswold (N)	Griswold (H)	0
The Countess	The Countess		laz_rogue3	6	Quest	countess	9	25	0	5	6	1	0		16	16	16	Countess	Countess (N)	Countess (H)	0
Pitspawn Fouldog	LazBossMoonbender	Moonbender	laz_batdemonboss1	7	A1 The Jail		18	26	0	4	5	1	0		31	31	31	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Flamespike the Crawler	Flamespike the Crawler		quillrat4	8	Unused		9	7	0	6	6	1	0		16	16	16	Act 1 Unique C	Act 1 (N) Unique C	Act 1 (H) Unique C	0
Boneash	LazBossBladeskin	Bladeskin the Slasher	laz_fallenboss1	9	A1 Cathedral		5	28	0	7	7	1	0		15	15	15	Act 1 Super C	Act 1 (N) Super C	Act 1 (H) Super C	0
Radament	Radament		radament	10	Quest		6	7	0	3	3	1	0		30	30	30	Radament	Radament (N)	Radament (H)	0
Bloodwitch the Wild	LazBossCrassus	Crassus the Tormentor	laz_vampireboss1	11	A2 Halls of the Dead/Dry Hills	subiolord	7	9	0	0	0	1	0		29	29	29	Act 2 Super A	Act 2 (N) Super A	Act 2 (H) Super A	0
Fangskin	LazBossKhahul	Khahul the Serpent	laz_clawviperboss1	12	A2 Claw Viper Temple	sudiealone	7	8	0			1	0		14	14	14	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
Beetleburst	LazBossBluehorn	Bluehorn	laz_bloodlordboss1	13	A2 Far Oasis	supsionic	5	6	0	3	4	1	0	1	13	13	13	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
Leatherarm	LazBossGraveljaw	Graveljaw the Devourer	laz_maggot1	14	A2 Stony Tomb		5	25	0	5	7	1	0		25	25	25	Act 2 Super A	Act 2 (N) Super A	Act 2 (H) Super A	0
Coldworm the Burrower	Coldworm the Burrower		maggotqueen1	15	Quest		18	8	0	0	0	0	0		13	13	13	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
