Treasure Class	*Laz/Info	*Laz/ItemChanceTotal	*Laz/ItemChance	*Laz/Unq	*Laz/Set	*Laz/Rar	*Laz/Mag	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	*eol
Gold			0	0,006	0,015	0,02	0,09375			1						gld	1																						0
Jewelry A			433	0,010395939	0,025989848	0,03465313	0,162436548			1						rin	8	amu	4	jew	2																		0
Jewelry B			512	0,012	0,03	0,04	0,1875			1						rin	8	amu	4	jew	2																		0
Jewelry C			640	0,016	0,04	0,053333333	0,25			1						rin	8	amu	4	jew	2																		0
Chipped Gem			654	0,016605405	0,041513514	0,055351351	0,259459459			1						gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	2										0
Flawed Gem			733	0,021113402	0,052783505	0,070378007	0,329896907			1						gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	2										0
Normal Gem			800	0,027428571	0,068571429	0,091428571	0,428571429			1						gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	2										0
Flawless Gem			833	0,032167539	0,080418848	0,107225131	0,502617801			1						gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	2										0
Perfect Gem			850	0,035310345	0,088275862	0,117701149	0,551724138			1						gpv	3	gpy	3	gpb	3	gpg	3	gpr	3	gpw	3	skz	2										0
Throwing Pots	Hellstars	5								1						hs1	1	hs2	1	hs3	1	hs4	1	hs5	1														0
Ammo			866	0,038886076	0,09721519	0,129620253	0,607594937			1						aqv	2	cqv	1																				0
Torches										1						tch	9	tc2	1																				0
Misc 0	Tpots/Keys/Scrolls	12	900	0,049548387	0,123870968	0,16516129	0,774193548			1						key	2	tsc	3	isc	3	opl	1	gpl	1	Torches	2												0
Misc 1	Tpots/Keys/Scrolls	12	933	0,067516484	0,168791209	0,225054945	1,054945055			1						key	2	tsc	3	isc	3	opm	1	gpm	1	Torches	2												0
Misc 2	Tpots/Keys/Scrolls	12	950	0,083027027	0,207567568	0,276756757	1,297297297			1						key	2	tsc	3	isc	3	ops	1	gps	1	Torches	2												0
Hpotion 1	Deprecated		966	0,105931034	0,264827586	0,353103448	1,655172414			1						hp1	9	hp2	3	mp1	5	mp2	2	rvs	1														0
Hpotion 2	Deprecated		972	0,118153846	0,295384615	0,393846154	1,846153846			1						hp1	2	hp2	6	hp3	4	mp2	4	mp3	3	rvs	1												0
Hpotion 3	Deprecated		983	0,149853659	0,374634146	0,499512195	2,341463415			1						hp2	2	hp3	6	hp4	4	mp3	4	mp4	3	rvs	1												0
Hpotion 4	Deprecated		995	0,211862069	0,529655172	0,706206897	3,310344828			1						hp3	2	hp4	6	hp5	4	mp4	4	mp5	3	rvs	1												0
Hpotion 5	Deprecated		1024	1	1	1	1			1						hp3	2	hp4	7	hp5	5	mp5	5	rvs	1														0
Hpotion 6	Deprecated									1						hp4	4	hp5	7	mp4	2	mp5	6	rvs	1														0
Junk Potion	Useless pots									1						vps	1	yps	1	wms	1																		0
Vial	Resistance vials									1						m0p	1	m1p	1	m2p	1	m3p	1																0
Arcana	Restoration arcana									1						m01	1	m02	1																				0
Smithing Kit	Permanent kits									1						m04	1	m05	1	m06	1	m07	1																0
Good Consumable	Good consumables	20								1						Smithing Kit	6	Vial	5	Arcana	4	Throwing Pots	4	m03	1														0
