index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	worldevent	*eol
Trophy1	0	0	1		1		1	1	rf1	TrophyBase1	1	0	0				invflag																																																					0
Trophy2	1	0	1		1		1	1	rf2	TrophyBase2	1	0	0	blac	blac		invflag				levelreq		-1	-1																																														0
Trophy3	2	0	1		1		1	1	rf3	TrophyBase3	1	0	0				invflag																																																					0
Trophy4	3	0	1		1		1	1	rf4	TrophyBase4	1	0	0	cred	cred		invflag				str		1	40	dex		1	40	enr		1	40	vit		1	40	skill-rand	1	429	452	skill-rand	1	453	476	skill-rand	1	477	500	skill-rand	1	501	524	skill-rand	1	525	548	skill-rand	1	549	572	skill-rand	1	573	596						0
Superdisenchant1	4	0	1		1		1	1	wt1	DisenchantmentScroll1		0	0	dgry	dgry		invscb				levelreq-display		50	50	dmg%-ac%-display		25	25	all-stats		10	10																																						0
Superdisenchant2	5	0	1		1		1	1	wt2	DisenchantmentScroll2		0	0	dgry	dgry		invscb				levelreq-display		50	50	dmg%-ac%-display		25	25	all-stats		10	10																																						0
Superdisenchant3	6	0	1		1		1	1	wt3	DisenchantmentScroll3		0	0	dgry	dgry		invscb				levelreq-display		50	50	dmg%-ac%-display		25	25	all-stats		10	10																																						0
Superdisenchant4	7	0	1		1		1	1	wt4	DisenchantmentScroll4		0	0	dgry	dgry		invscb				levelreq-display		50	50	dmg%-ac%-display		25	25	all-stats		10	10																																						0
Amulet of the Viper	123	0	1		1		0	0	vip	Amulet		5	5000	lgry							mana		10	10	res-pois		25	25	hp		10	10			0	0			0	0			0	0			0	0																						0
Staff of Kings	124	0	1		1		0	0	msf	Staff		5	5000	dgry							res-all		10	10	swing3		50	50			0	0			0	0			0	0			0	0			0	0																						0
Horadric Staff	125	0	1		1		0	0	hst	Staff		5	5000	blac							mana		10	10	res-pois		25	25	hp		10	10	res-all		10	10	swing3		50	50			0	0			0	0																						0
Hell Forge Hammer	126	0	1		1		0	0	hfh	Hammer		5	5000	cred							fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35			0	0			0	0			0	0																						0
KhalimFlail	127	0	1		1		0	0	qf1	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		20	20	swing3		50	50	att		40	40			0	0			0	0			0	0																						0
SuperKhalimFlail	128	0	1		1		0	0	qf2	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		40	40	swing3		50	50	att		40	40	manasteal		6	6	lifesteal		6	6			0	0																						0
Brainhack		0	1		1		1	1	ax1	Hand Axe		0	0								0				#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B	#N/B																																		0
